Batch_ID,Cooling_Rate_C_min,Agitation_RPM,Seed_Mass_g,Seed_Temp_C,Initial_Conc_g_L,Batch_Time_hr,Mean_Crystal_Size_um,Fines_Pct,Yield_Pct
B001,0.33,267.1,9.89,61.5,143.6,6.29,385.1,4.2,93.3
B002,0.518,252.9,11.37,58.8,152.7,6.87,353.3,3.3,91.8
B003,0.465,200.8,8.67,60.2,153.0,6.56,382.9,4.0,92.3
B004,0.523,504.1,9.41,58.4,145.5,6.62,253.2,17.6,91.9
B005,0.6,252.7,7.97,60.2,147.4,6.8,370.7,4.1,94.3
B006,0.499,549.3,8.12,60.9,152.4,6.15,227.7,27.9,91.4
B007,0.478,535.0,9.46,58.8,148.8,6.29,204.1,19.5,91.3
B008,0.457,259.4,9.3,59.6,148.4,5.99,390.3,4.4,93.8
B009,0.486,270.7,9.89,60.5,152.8,6.36,389.0,4.2,93.9
B010,1.535,272.3,4.51,50.8,163.0,3.79,86.5,38.9,84.6
B011,0.531,223.6,10.96,60.5,153.3,7.16,380.6,3.6,92.9
B012,0.512,519.5,9.89,62.0,154.5,6.19,239.0,20.4,88.8
B013,0.434,211.7,9.58,59.6,146.8,6.44,392.3,5.7,94.0
B014,0.38,215.7,11.16,60.9,152.5,6.72,384.8,3.5,93.9
B015,1.388,277.9,3.18,51.2,152.5,3.86,100.8,42.9,84.2
B016,1.578,259.5,4.49,56.1,152.2,3.69,129.8,44.0,84.9
B017,1.501,246.0,3.47,52.0,148.2,4.18,121.2,37.7,85.8
B018,0.485,237.2,10.65,61.8,149.1,6.42,413.4,4.8,93.3
B019,1.483,236.7,2.74,53.9,153.8,3.97,108.4,38.6,87.5
B020,1.327,296.3,3.67,51.0,147.6,4.02,117.8,38.2,89.1
B021,0.5,518.5,8.75,60.5,147.6,6.33,205.4,22.8,91.6
B022,0.494,218.6,9.86,60.1,152.1,6.75,364.8,3.0,95.1
B023,0.423,242.3,10.66,61.9,145.0,7.25,349.9,4.1,94.4
B024,0.345,568.2,9.44,59.0,147.0,5.72,231.5,21.7,89.7
B025,0.603,223.8,9.16,59.3,141.5,6.32,371.3,4.3,94.1
B026,0.468,238.5,8.08,60.0,150.2,7.36,381.5,4.4,93.8
B027,0.558,224.3,9.68,61.0,145.1,6.58,408.5,2.9,94.0
B028,0.201,182.2,7.49,60.8,127.1,4.08,263.0,8.6,77.2
B029,0.382,547.8,9.36,59.1,153.8,6.46,207.8,24.7,89.9
B030,1.362,274.0,4.76,51.1,155.1,3.8,125.8,47.3,84.8
B031,0.396,235.3,9.51,60.1,159.3,5.85,397.4,2.9,93.3
B032,0.424,494.8,8.04,60.2,145.9,6.91,173.4,26.3,91.5
B033,0.454,217.1,10.36,60.7,154.3,6.87,360.2,3.4,94.3
B034,1.376,263.4,3.7,52.6,157.3,4.3,105.3,35.7,83.3
B035,0.428,517.8,9.01,58.5,151.2,6.01,220.4,21.4,90.9
B036,0.206,143.2,6.8,61.2,124.5,4.43,291.0,8.6,77.1
B037,0.551,211.3,11.16,60.0,146.1,6.66,388.6,3.7,93.9
B038,0.505,607.0,10.72,59.3,147.2,5.74,219.1,19.4,89.5
B039,0.234,148.7,6.71,60.7,123.5,4.79,245.6,8.2,78.1
B040,0.475,269.6,9.48,59.0,148.0,6.82,390.9,3.8,94.3
B041,0.472,256.3,10.63,59.0,147.8,6.76,396.0,4.2,93.9
B042,0.526,241.3,8.92,59.1,152.7,6.24,388.9,4.2,93.1
B043,0.518,577.1,10.95,61.4,149.0,5.95,212.5,21.7,92.5
B044,0.599,260.6,8.48,59.4,155.1,6.25,393.0,4.8,92.9
B045,1.391,306.3,3.98,55.3,156.9,3.71,116.9,42.4,87.3
B046,1.366,274.0,4.74,50.9,163.1,3.98,99.6,40.7,87.6
B047,0.4,230.8,11.06,60.4,142.9,6.61,378.1,3.7,94.4
B048,1.428,261.8,4.51,52.4,159.2,3.43,112.0,41.6,85.9
B049,0.502,501.9,12.05,59.7,151.4,6.55,224.6,22.1,90.3
B050,0.553,257.2,9.84,60.0,146.0,6.49,379.8,4.5,93.0
B051,0.448,198.7,9.91,58.4,152.7,6.63,368.1,3.8,92.7
B052,0.451,253.6,9.69,60.4,149.5,6.53,395.7,3.5,95.9
B053,0.468,255.6,8.76,58.4,152.1,6.6,389.5,4.5,93.1
B054,0.563,517.2,9.33,58.3,149.2,6.43,230.1,18.9,92.2
B055,0.539,228.2,10.55,59.8,149.1,6.88,399.9,4.9,95.1
B056,0.185,174.2,7.34,62.6,126.0,4.49,297.8,9.9,79.1
B057,0.366,256.3,11.36,59.9,154.0,6.63,373.4,4.5,95.3
B058,0.581,259.0,9.42,58.9,152.0,6.04,418.0,5.1,93.3
B059,0.462,547.4,11.45,60.9,149.9,5.91,266.5,21.7,91.2
B060,0.588,540.3,11.48,58.6,146.0,5.68,244.9,23.3,91.1
B061,0.42,514.7,8.19,58.4,145.6,5.96,236.1,18.8,94.4
B062,0.511,216.0,9.67,59.4,147.4,7.12,392.3,3.2,94.7
B063,0.393,238.5,10.34,60.3,153.3,6.5,411.2,4.0,96.5
